countof,Datum,years,Monat,Bundesland,Bundesland_count,Bundesland_count_scale,Stadt,Vorfallsart,Kurzbeschreibung,Verletzte,Tote,bewohnt,Politisch motivierte Tat nach Polizei- einschätzung?,Einzeltäter,Tätergruppe,Täter_organisiert,Ersttäter,Wiederholungstäter,Täter_ortsansässig,Täter_zugereist,ermittelnde_Polizei,ermittelnde_Staats_anwaltschaft,Verfahren_eingestellt,Anklage_erhoben,Urteil,Uhrzeit,Einbruch_Eingedrungen,lat,lng,cunti
1,1/27/2015,2015,1,Sachsen,13,1,Hoyerswerda,Sachbeschädigung,"Ein unbekannter Täter wirft einen Stein auf die bewohnte Unterkunft und beschädigt das Fenster eines Raumes, in dem sich vier Bewohner aufhalten.",0,0,ja,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,Operatives Abwehrzentrum (OAZ),  Görlitz,ja,nein,nein,3 Uhr,nein,51.43331,14.250083,1
1,3/5/2015,2015,3,Sachsen,13,1,Hoyerswerda,Sachbeschädigung,"Unbekannte Täter schmieren an eine Turnhalle, die zu einer Flüchtlingsunterkunft werden soll, rechte Parolen und verfassungswidrige Symbole. Außerdem schlagen sie Fensterscheiben ein. Es entsteht ein Schaden von 1.000 Euro. Nach einem Zeugenhinweis nimmt die Polizei noch am selben Tag mehrere Tatverdächtige fest. ",0,0,nein,ja,nein,ja,nein,nein,nein,ja,nein,Görlitz,  Görlitz,,nein,nein,23.15 Uhr,nein,51.43331,14.250083,1
1,6/3/2015,2015,6,Sachsen,13,1,Hoyerswerda,Brandanschlag,"Gewalttäter schleudern eine entzündete Flasche mit brennbarer Flüssigkeit in Richtung der Unterkunft, in der 27 Menschen leben. Der Brandsatz zerbirst, ohne weiteren Schaden anzurichten. Nach zahlreichen Zeugenbefragungen fasst die Polizei nach mehreren Wochen die vier geständigen Täter. Sie werden angeklagt.",0,0,ja,ja,nein,ja,nein,nein,ja,ja,ja,Operatives Abwehrzentrum (OAZ),Görlitz,,ja,nein,nachts,nein ,51.43331,14.250083,1
1,4/29/2015,2015,4,Sachsen,13,1,Gröditz,Sachbeschädigung,Unbekannte werfen Böller auf ein Wohnhaus von Asylbewerbern. Die Staatsanwaltschaft sagt – offenbar aus ermittlungstaktischen Gründen – nichts über den Vorfall und zum Ermittlungsstand. ,0,nein,ja,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,Operatives Abwehrzentrum (OAZ),  Dresden,,keine Auskunft,keine Auskunft,keine Auskunft,nein,51.413142,13.448307,1
1,11/6/2015,2015,11,Sachsen,13,1,Schkeuditz,Brandanschlag,"In einem leer stehenden, bereits stark beschädigten Gebäude brennt der Dachstuhl, etwa 20 Quadratmeter Dachboden werden zerstört. Die Feuerwehr löscht den Brand, die Polizei geht von Brandstiftung aus. Schon vor zwei Jahren hatte ein Feuer einen großen Teil des Daches zerstört. Das Haus ist als Unterkunft für rund 60 Asylbewerber im Gespräch. ",0,0,nein,,,,,,,,,Staatsschutzabteilung der Polizei,,,,,früher Abend,Stand am 27.11. unverändert,51.402263,12.209145,1
1,10/6/2015,2015,10,Sachsen,13,1,Schkeuditz,Sachbeschädigung,Unbekannte werfen an der Erstaufnahmeeinrichtung zwei Fensterscheiben ein.,0,0,ja,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,OAZ,Leipzig/Torgau,nein,keine Auskunft,keine Auskunft,unbekannt,nein,51.394095,12.235210,1
1,8/26/2015,2015,8,Sachsen,13,1,Leipzig,Brandanschlag,"Ein Brandstifter schleudert einen Brandsatz in eine Unterkunft, ein Bett fängt Feuer, das Zimmer verrußt. Ein Zeuge ruft die Feuerwehr. An den Wänden steht anschließend die Botschaft ""Wir sagen nein"". Laut einem Medienbericht sieht der Zeuge einen Vermummten vom Tatort weglaufen.",0,0,nein,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,Operatives Abwehrzentrum (OAZ),Leipzig,,nein,nein,1.30 Uhr,nein,51.339183,12.381055,1
1,10/30/2015,2015,10,Sachsen,13,1,Leipzig,Sachbeschädigung,Unbekannte beschädigen eine Fensterscheibe an einer Unterkunft und verteilen darin eine übel riechende Flüssigkeit. Das Gebäude sollte in wenigen Tagen als Erstaufnahmeeinrichtung genutzt werden. ,0,0,nein,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,OAZ,Leipzig,nein,keine Auskunft,keine Auskunft,unbekannt,nein,51.332262,12.378522,1
1,11/8/2015,2015,11,Sachsen,13,1,Brandis/Beucha,Brandanschlag,"Unbekannte schlagen ein Fenster einer noch unbewohnten Unterkunft ein und versuchen es durch einen Brandsatz anzuzünden. Es entsteht ein Schwelbrand, der von selbst wieder erlischt. Das Gebäude hatte ein Steinbruchunternehmen für Flüchtlinge zur Verfügung gestellt.  ",0,0,nein,ja,,,,,,,,,,,nein,,8.30 Uhr Meldung bei Feuerwehr,,51.320908,12.573212,1
1,7/31/2015,2015,7,Sachsen,13,1,Niesky,Sachbeschädigung,"Am Tag, nach dem Flüchtlinge eine neue Asylunterkunft bezogen haben, wirft ein Mann Steine auf das Gebäude. Dabei beschädigt er zwei Scheiben, verletzt jedoch niemanden. Der Tatverdächtige wird bei der Tat beobachtet. Am nächsten Tag versucht er, in das Gebäude zu gelangen, was der Wachdienst allerdings verhindert. Die Ermittlungen richten sich gegen einen 48 Jahre alten ortsansässigen Mann.",0,0,ja,ja,ja,nein,nein,ja,nein,ja,nein,PD Görlitz,Görlitz,,nein,nein,0.9444444444,nein,51.293046,14.822993,1
